Name,Gender,Department,Salary,Location,Rating
Michail Sicha,Male,Marketing,,Kaduna,Very Poor
Sabina Scorrer,Female,Support,"$70,930 ",Kaduna,Average
Bayard Gendricke,Male,Legal,"$40,980 ",Kaduna,Very Poor
Esmaria Denecamp,Male,Marketing,"$48,980 ",Kaduna,Very Poor
Antone Tolmie,Male,Training,"$110,820 ",Kaduna,Good
Tammi Lackham,Female,Business Development,"$61,690 ",Abuja,Good
Northrop Reid,Female,NULL,"$51,170 ",Kaduna,Average
Nananne Gehringer,Undisclosed,Support,"$104,800 ",Lagos,Average
Loren Bentote,Male,Accounting,"$56,280 ",Kaduna,Poor
Manolo Gasnell,Male,Engineering,"$88,380 ",Kaduna,Good
Wyatt Clinch,Male,Engineering,"$52,590 ",Lagos,Good
Giselbert Newlands,Male,Services,"$47,650 ",Abuja,Poor
Cristal Demangeot,Female,Sales,"$72,350 ",Abuja,Good
Jaime Dowe,Female,Accounting,"$39,940 ",Lagos,Average
Addia Penwright,Male,Research and Development,"$28,130 ",Abuja,Poor
Ali Roubert,Undisclosed,Engineering,"$69,460 ",Abuja,Very Good
Emmye Corry,Male,Services,"$109,030 ",Abuja,Very Good
Addy Pimblett,Male,Product Management,"$66,460 ",Lagos,Average
Angela Bangley,Female,Training,"$50,810 ",Abuja,Not Rated
Elbertine Hiscoe,Female,Training,,Abuja,Good
Baudoin Dummigan,Male,Legal,"$114,510 ",Kaduna,Average
Lissy McCoy,Female,Business Development,"$86,230 ",Abuja,Poor
Ingunna Wainscoat,Male,Support,"$73,240 ",Kaduna,Average
Amii Elms,Female,Business Development,"$53,920 ",Kaduna,Poor
Ignacio Delion,Female,Engineering,"$113,690 ",Kaduna,Average
Colby Reuven,Male,Business Development,"$101,790 ",Lagos,Average
Maggee Stiggles,Female,Engineering,"$38,930 ",Abuja,Average
Kelci Walkden,Male,Human Resources,"$57,090 ",Kaduna,Very Poor
Bogey Hitcham,Male,Product Management,"$106,170 ",Lagos,Poor
Pembroke Siflet,Female,Human Resources,"$59,550 ",Abuja,Average
Adolph Hartin,Male,Product Management,"$89,960 ",Lagos,Poor
Gisela Wille,Undisclosed,Support,"$58,850 ",Lagos,Poor
Joyce Leyband,Female,Product Management,"$68,200 ",Lagos,Average
Reube Sushams,Male,Marketing,"$90,130 ",Kaduna,Good
Mathian MacMeeking,Female,Services,"$45,060 ",Kaduna,Good
Antonino Forsdicke,Male,Product Management,"$66,370 ",Lagos,Average
Mick Spraberry,Female,Services,"$85,880 ",Abuja,Good
Benita Gillice,Male,Accounting,,Kaduna,Poor
Caresa Christer,Male,Support,"$59,260 ",Lagos,Poor
Letizia Hasselby,Male,Legal,"$61,790 ",Abuja,Average
Luce Beentjes,Male,Training,"$48,180 ",Abuja,Good
Sammy Gantlett,Female,Product Management,"$74,800 ",Lagos,Very Poor
Pooh Splevins,Female,Business Development,"$31,020 ",Lagos,Average
Aeriela Aickin,Male,Product Management,"$37,550 ",Abuja,Average
Tabbatha Pickston,Male,Marketing,"$72,040 ",Abuja,Good
Tawnya Tickel,Male,Support,"$118,840 ",Abuja,Not Rated
Royal Nowakowska,Male,Human Resources,"$79,570 ",Kaduna,Average
Winny Millam,Female,Business Development,"$94,050 ",Lagos,Not Rated
Michael Sidry,Male,Product Management,"$81,260 ",Abuja,Average
Nolan Tortis,Male,Support,"$36,710 ",Abuja,Average
De witt Lottrington,Female,Sales,"$98,360 ",Abuja,Very Poor
Baxter Brocks,Female,Human Resources,"$39,680 ",Abuja,Poor
Joyce Esel,Male,Sales,"$101,390 ",Kaduna,Good
Van Tuxwell,Female,Business Development,"$80,700 ",Abuja,Good
Fidela Artis,Female,Sales,"$78,020 ",Lagos,Average
Dov Thoresby,Male,Support,"$115,490 ",Abuja,Poor
Aloise MacCathay,Male,NULL,,Lagos,Average
Cathi Delgardo,Male,Product Management,"$111,910 ",Abuja,Good
Doro Nolte,Female,Services,"$109,050 ",Kaduna,Average
Easter Pyke,Female,Training,"$95,680 ",Abuja,Average
Noll Forbear,Male,Services,"$109,380 ",Kaduna,Average
Myer McCory,Male,Research and Development,"$69,710 ",Kaduna,Average
Doralyn Segar,Female,Support,"$30,000 ",Kaduna,Average
Clo Jimpson,Male,Legal,"$57,620 ",Lagos,Very Poor
Brose MacCorkell,Female,Human Resources,"$35,940 ",Lagos,Poor
Audry Yu,Female,Training,"$101,190 ",Abuja,Average
Dolley Grayley,Female,Legal,"$48,980 ",Abuja,Very Good
Meredith Rucklidge,Male,Legal,"$115,840 ",Lagos,Not Rated
Valida Merrigans,Male,Sales,,Kaduna,Very Poor
Rory Ravenscroftt,Female,Accounting,"$45,450 ",Kaduna,Very Good
Verla Timmis,Male,Support,"$54,140 ",Abuja,Average
Jo Benoi,Female,Human Resources,"$117,520 ",Kaduna,Average
Marquita Liquorish,Female,Legal,,Kaduna,Average
Caty Janas,Male,Accounting,"$93,210 ",Lagos,Poor
Pennie Walmsley,Male,Support,"$104,470 ",Lagos,Not Rated
Virge Garfield,Male,Training,"$110,890 ",Abuja,Poor
Rebecca Shillan,Male,Research and Development,,Abuja,Good
Myrilla Mercik,Female,Training,"$96,660 ",Kaduna,Average
Giacobo Donke,Male,Services,"$118,360 ",Kaduna,Average
Barbara-anne Kenchington,Female,Support,"$88,030 ",Abuja,Average
Aida Bleacher,Male,Product Management,"$87,810 ",Abuja,Not Rated
Cly Vizard,Male,Business Development,"$51,520 ",Abuja,Average
Aleksandr Botha,Male,Sales,"$60,260 ",Abuja,Not Rated
Evangelina Lergan,Male,Support,"$61,210 ",Kaduna,Average
Maritsa Marusic,Male,Research and Development,"$52,750 ",Kaduna,Average
Tamar MacGilfoyle,Male,Product Management,"$47,270 ",Kaduna,Average
Chancey Dyos,Male,Sales,"$118,060 ",Kaduna,Good
Isaak Rawne,Male,Marketing,"$37,360 ",Lagos,Average
Gideon Hehir,Female,Business Development,"$66,510 ",Kaduna,Average
Irena Trousdell,Female,Marketing,"$29,530 ",Kaduna,Very Poor
Gino Groome,Female,Research and Development,"$60,440 ",Lagos,Very Good
Lamond Douthwaite,Male,Engineering,"$90,530 ",Lagos,Very Poor
Ebonee Roxburgh,Male,Training,"$67,950 ",Kaduna,Very Good
Nathanial Brounfield,Male,Accounting,"$105,120 ",Kaduna,Average
Mallorie Waber,Male,Training,"$60,570 ",Lagos,Good
Ewart Laphorn,Female,Training,"$119,110 ",Kaduna,Good
Hilliary Roarty,Male,Services,"$104,770 ",Kaduna,Poor
Putnem Manchester,Male,Sales,"$70,360 ",Lagos,Average
Lanie Gatlin,Female,Support,"$45,110 ",Abuja,Not Rated
Michel Jados,Male,Research and Development,,Abuja,Very Poor
Lezlie Philcott,Female,Research and Development,,Lagos,Not Rated
Sharl Bendson,Female,Business Development,"$33,630 ",Abuja,Poor
William Reeveley,Male,Training,"$53,870 ",Abuja,Good
Granville Stetson,Female,Engineering,"$111,190 ",Lagos,Average
Mirna Etoile,Female,Legal,"$29,970 ",Kaduna,Average
Freddie Johnikin,Male,Support,"$64,960 ",Lagos,Average
Natalee Craiker,Male,Product Management,"$111,230 ",Abuja,Average
Mariette Daymont,Female,Sales,"$99,530 ",Abuja,Average
Aldrich Glenny,Male,Business Development,"$90,880 ",Abuja,Not Rated
Lonny Caen,Female,Research and Development,"$35,980 ",Lagos,Very Good
Murial Ickovici,Female,Business Development,"$72,500 ",Kaduna,Good
Kath Bletsoe,Male,Marketing,"$65,700 ",Abuja,Very Poor
Gayla Blackadder,Female,Services,"$109,170 ",Lagos,Good
Adela Dowsett,Male,Support,"$95,020 ",Lagos,Average
Addi Studdeard,Female,Product Management,"$72,500 ",Abuja,Poor
Sharron Petegree,Female,Product Management,"$87,290 ",Kaduna,Good
Eleonore Airdrie,Female,Engineering,"$97,110 ",Abuja,Average
Rhiamon Mollison,Female,Research and Development,"$59,430 ",Lagos,Average
Karon Oscroft,Male,Marketing,"$112,120 ",Lagos,Average
Edi Hofton,Male,Research and Development,"$28,160 ",Abuja,Not Rated
Derk Bosson,Female,Legal,"$75,870 ",Lagos,Average
Lorrie Derycot,Female,Support,"$93,270 ",Lagos,Average
Hartwell Pratchett,Female,Training,"$42,730 ",Lagos,Average
Van Ruseworth,Female,Services,"$80,610 ",Abuja,Average
Inge Creer,Female,Services,"$69,060 ",Lagos,Very Poor
Elwira Lyddiard,Male,Product Management,"$31,280 ",Abuja,Average
Kincaid Hellicar,Male,Business Development,"$96,610 ",Kaduna,Very Good
Maximo Guirard,Female,Business Development,"$37,020 ",Kaduna,Average
Alta Kaszper,Male,Training,"$54,970 ",Lagos,Average
Lamar Blewitt,Male,Services,"$41,910 ",Lagos,Poor
Hector Isard,Male,Support,"$116,970 ",Abuja,Very Good
Barbara-anne Kenchington,Female,Support,"$88,030 ",Kaduna,Very Good
Judi Cosgriff,Female,Human Resources,"$86,390 ",Abuja,Good
Janean Gostage,Male,Services,"$81,150 ",Abuja,Not Rated
Delphine Jewis,Female,Accounting,"$71,820 ",Kaduna,Average
Matias Cormack,Male,Research and Development,"$85,460 ",Kaduna,Average
Rogers Rosenthaler,Female,Business Development,"$91,190 ",Lagos,Poor
Clarine Shambrooke,Undisclosed,Support,"$93,160 ",Lagos,Average
Thedrick Rogeon,Male,Marketing,"$110,950 ",Kaduna,Poor
Roanne Phizacklea,Female,Product Management,"$35,990 ",Abuja,Average
Devinne Tuny,Male,Engineering,"$39,970 ",Kaduna,Average
Martelle Brise,Male,Training,"$79,520 ",Kaduna,Average
Dino Wooderson,Male,Legal,"$52,120 ",Abuja,Poor
Effie Vasilov,Male,Support,"$60,010 ",Lagos,Average
Jermaine Steers,Female,Accounting,"$35,440 ",Abuja,Good
Saunders Blumson,Undisclosed,Legal,"$56,370 ",Abuja,Average
Elliot Revelle,Male,Legal,,Abuja,Average
Mora Innett,Female,Legal,"$105,610 ",Lagos,Poor
Mahalia Larcher,Male,Accounting,"$113,280 ",Abuja,Good
Dotty Strutley,Female,Engineering,"$41,980 ",Lagos,Average
Margy Elward,Male,Business Development,"$103,670 ",Lagos,Average
Danica Nayshe,Female,Services,"$89,690 ",Kaduna,Good
Shari Pickston,Male,Legal,"$96,320 ",Lagos,Not Rated
Merrilee Plenty,Female,Research and Development,"$87,620 ",Abuja,Good
Romona Dimmne,Female,Research and Development,"$48,250 ",Kaduna,Poor
Lark Ironmonger,Male,Marketing,"$85,780 ",Abuja,Poor
Aube Chadderton,Female,Human Resources,,Lagos,Average
Caritta Searl,Male,Sales,"$54,010 ",Kaduna,Poor
Ernestus O'Hengerty,Female,Research and Development,"$31,020 ",Abuja,Average
Camilla Castle,Female,Product Management,"$75,480 ",Kaduna,Average
Bette-ann Leafe,Male,Human Resources,"$93,500 ",Abuja,Average
Aurelia Stanners,Female,Services,"$98,630 ",Lagos,Good
Shelby Buckland,Male,Services,"$76,390 ",Lagos,Average
Barr Faughny,Female,Marketing,"$68,010 ",Abuja,Average
Farris Ditchfield,Male,Human Resources,"$58,030 ",Kaduna,Good
Gerald Caple,Male,Training,"$59,300 ",Kaduna,Good
Grier Kidsley,Female,Product Management,"$51,800 ",Abuja,Average
Yves Pawlik,Male,Accounting,"$57,930 ",Abuja,Very Good
Korney Bockings,Male,Engineering,"$40,530 ",Lagos,Average
Stephan Bussel,Male,Research and Development,"$48,290 ",Kaduna,Average
Caron Pleven,Female,Human Resources,,Abuja,Average
Jedd Moretto,Male,Support,"$63,720 ",Kaduna,Very Good
Verney Sloegrave,Male,Sales,"$84,500 ",Kaduna,Average
Nerita Mycock,Male,Accounting,"$67,430 ",Kaduna,Average
Mella Northam,Male,Support,"$109,120 ",Kaduna,Not Rated
Thedrick Bothwell,Male,Business Development,"$69,760 ",Kaduna,Average
Georgianne Archbutt,Female,Services,"$45,600 ",Kaduna,Not Rated
Thorvald Milliken,Female,Business Development,"$33,030 ",Lagos,Good
Aileen McCritchie,Male,Business Development,"$80,170 ",Lagos,Average
Drusy MacCombe,Male,Training,"$43,510 ",Kaduna,Average
Cathyleen Hurch,Female,Sales,"$49,390 ",Lagos,Average
Jannel Labb,Female,Research and Development,"$47,910 ",Kaduna,Average
Cheryl Mantz,Male,Sales,"$35,740 ",Kaduna,Good
Madlen Ashburner,Male,Support,"$42,240 ",Abuja,Very Good
Colly Littledike,Female,Services,"$117,150 ",Lagos,Average
Karyn Creeghan,Male,Engineering,"$36,540 ",Kaduna,Good
Edgard Irving,Undisclosed,Research and Development,"$87,290 ",Kaduna,Good
Cyril Medford,Female,Research and Development,"$85,720 ",Abuja,Average
Kikelia Ellor,Undisclosed,Engineering,"$34,620 ",Kaduna,Very Good
Dael Bugge,Male,Training,"$62,690 ",Lagos,Poor
Joyce Esel,Male,Sales,"$101,390 ",Kaduna,Average
Ferrell Skepper,Female,Research and Development,"$30,250 ",Kaduna,Average
Hannis January,Male,Business Development,"$29,530 ",Lagos,Not Rated
Pierson Measham,Male,Business Development,"$103,160 ",Kaduna,Good
Xylina Pargetter,Female,Legal,"$109,790 ",Kaduna,Average
Aretha Ettridge,Female,Accounting,"$33,760 ",Abuja,Average
Joshia Farris,Female,Legal,"$36,740 ",Kaduna,Average
Cathi Delgardo,Male,Product Management,"$111,910 ",Abuja,Not Rated
Mabel Orrow,Male,Product Management,"$31,240 ",Abuja,Poor
Alexandros Rackley,Female,Legal,"$75,730 ",Kaduna,Not Rated
Mickie Dagwell,Male,Engineering,"$50,860 ",Abuja,Not Rated
Mariette Daymont,Female,Sales,"$99,530 ",Lagos,Not Rated
Win Arthurs,Female,Support,"$43,200 ",Abuja,Very Good
Marni Jull,Female,Services,"$84,200 ",Abuja,Good
Sandy Cadden,Female,Legal,"$95,980 ",Lagos,Average
Wyn Treadger,Female,Business Development,"$69,190 ",Kaduna,Good
Marney O'Breen,Female,Product Management,"$65,920 ",Kaduna,Good
Westbrook Brandino,Male,Legal,"$113,620 ",Lagos,Poor
Sandi Labat,Male,Sales,"$60,140 ",Abuja,Average
Leilah Yesinin,Female,Research and Development,"$92,450 ",Kaduna,Not Rated
Lincoln Greatex,Male,Human Resources,"$34,650 ",Abuja,Average
Patti Dradey,Male,Services,"$84,740 ",Lagos,Average
Oona Donan,Female,Business Development,"$88,360 ",Lagos,Average
Burtie Moulden,Female,Services,"$116,220 ",Lagos,Poor
Mathian MacMeeking,Female,Services,"$45,060 ",Lagos,Average
Reg MacMichael,Male,Services,"$106,890 ",Kaduna,Average
Ignacius Losel,Male,Legal,"$28,480 ",Kaduna,Poor
Tonia Moules,Female,Business Development,,Abuja,Good
Joey Keedwell,Female,Marketing,"$107,440 ",Kaduna,Poor
Clo Jimpson,Male,Legal,"$57,620 ",Abuja,Good
Bryant Scamp,Female,Human Resources,"$29,810 ",Kaduna,Average
Mick Titman,Male,Training,"$105,330 ",Lagos,Poor
Trudie Couch,Female,Legal,"$43,110 ",Lagos,Average
Cyndia Skedge,Male,Support,"$52,630 ",Abuja,Average
Francoise Godbold,Male,Sales,"$46,350 ",Kaduna,Average
Staford Brood,Female,NULL,"$39,800 ",Kaduna,Good
Filmore Fitzhenry,Male,Human Resources,"$108,170 ",Kaduna,Not Rated
Berna Dubery,Male,Services,"$69,730 ",Kaduna,Very Poor
Gerrard Doorey,Male,Product Management,"$110,200 ",Abuja,Average
Hiram Merkle,Male,Legal,"$116,090 ",Kaduna,Not Rated
Zebulon Allmen,Undisclosed,Business Development,"$52,140 ",Abuja,Average
Kingsley Hagard,Male,Engineering,"$32,810 ",Kaduna,Average
My Hanscome,Male,Sales,"$59,430 ",Lagos,Average
Eldredge MacClure,Male,Legal,"$46,990 ",Kaduna,Average
Pauletta Falkus,Male,Sales,"$33,560 ",Kaduna,Average
Deck McCallion,Male,Sales,"$33,890 ",Abuja,Average
Miguel Woolner,Male,Training,"$51,740 ",Kaduna,Poor
Yolande O'Dare,Female,Accounting,"$51,650 ",Abuja,Good
Kit Battlestone,Female,Research and Development,"$115,980 ",Abuja,Good
Glennis Fussen,Female,Sales,"$58,370 ",Kaduna,Good
Rhiamon Mollison,Female,Research and Development,"$59,430 ",Abuja,Average
Theresita Chasmer,Female,Product Management,"$106,670 ",Lagos,Average
Pippy Shepperd,Female,Accounting,"$44,850 ",Kaduna,Very Good
Petronella Marusik,Male,Accounting,"$75,600 ",Abuja,Average
Andria Kimpton,Male,Product Management,"$69,120 ",Abuja,Average
Jarad Barbrook,Female,Human Resources,"$31,200 ",Abuja,Very Poor
Dulsea Folkes,Female,Services,"$42,160 ",Lagos,Very Good
Herschel Wareham,Male,Services,"$110,830 ",Kaduna,Average
Skip Morkham,Female,Marketing,"$83,180 ",Kaduna,Average
Merrilee Plenty,Female,Research and Development,"$87,620 ",Abuja,Very Good
Dayle O'Luney,Female,Research and Development,"$46,750 ",Abuja,Good
Gray Seamon,Female,Business Development,"$78,540 ",Kaduna,Average
Krysta Elacoate,Male,Human Resources,"$106,930 ",Abuja,Very Poor
Abramo Labbez,Female,Research and Development,"$77,000 ",Lagos,Average
Faun Rickeard,Male,Product Management,"$74,920 ",Lagos,Average
Jamesy O'Ferris,Male,Accounting,"$36,550 ",Kaduna,Average
Fanchon Furney,Male,Accounting,"$95,950 ",Abuja,Average
Pate Beardsley,Male,Services,"$85,880 ",Lagos,Very Good
Grady Crosgrove,Undisclosed,Sales,"$77,910 ",Kaduna,Average
Darcy Brewitt,Male,Human Resources,"$116,670 ",Kaduna,Average
Foss Asquez,Male,Support,"$92,190 ",Kaduna,Not Rated
Gilda Richen,Female,Support,"$71,920 ",Abuja,Poor
Antonino Forsdicke,Male,Product Management,"$66,370 ",Abuja,Average
Jobie Basili,Female,Sales,"$39,340 ",Kaduna,Good
Everard Borer,Female,Marketing,,Abuja,Average
Anni Izzard,Male,Human Resources,"$103,490 ",Abuja,Good
Bebe Pollicott,Female,Legal,"$87,740 ",Kaduna,Average
Julian Andrassy,Female,Marketing,"$113,980 ",Lagos,Poor
Shell O'Griffin,Female,Sales,,Lagos,Average
Dionne Garrish,Female,Engineering,"$41,600 ",Abuja,Good
Gilles Jaquet,Female,Accounting,"$76,300 ",Kaduna,Good
Alexis Gotfrey,Male,Engineering,"$114,470 ",Lagos,Very Good
Xavier Filipic,Female,Marketing,"$31,050 ",Kaduna,Good
Liane Bedburrow,Female,Training,"$76,620 ",Abuja,Average
Meara Darrington,Male,Engineering,"$76,190 ",Abuja,Poor
Genevra Friday,Female,Research and Development,"$50,450 ",Lagos,Average
Penni Patemore,Male,Services,"$29,330 ",Kaduna,Average
Yanaton Wooster,Male,Marketing,"$76,930 ",Abuja,Average
Hedvige Stelfox,Female,Human Resources,"$33,800 ",Abuja,Average
Tammy Backson,Female,Marketing,"$44,820 ",Abuja,Average
Delinda Snozzwell,Undisclosed,Engineering,"$67,010 ",Abuja,Good
Inger Chapelhow,Female,Research and Development,"$84,310 ",Lagos,Average
Arty Duigan,Male,Legal,"$108,600 ",Abuja,Very Good
Nani Brockley,Male,Product Management,"$47,000 ",Abuja,Good
Curtice Advani,Male,Product Management,"$59,810 ",Lagos,Average
Leela Eckart,Male,Legal,"$90,340 ",Kaduna,Average
Krystal Lambswood,Female,Training,"$41,600 ",Kaduna,Poor
Cristal Demangeot,Female,Sales,"$72,350 ",Kaduna,Poor
Jori Ashleigh,Male,Legal,"$64,270 ",Abuja,Average
Leslie Baruch,Female,Accounting,"$103,990 ",Kaduna,Very Good
Helene Bouts,Male,Sales,"$70,380 ",Lagos,Good
Eleni O'Quin,Male,Legal,"$89,020 ",Lagos,Average
Alic Bagg,Male,Legal,"$113,750 ",Kaduna,Average
Maible Azemar,Male,Accounting,,Kaduna,Average
Abran Danielsky,Female,Engineering,"$32,720 ",Kaduna,Average
Halette Yesenev,Male,Services,"$61,920 ",Kaduna,Average
Cleveland Pottiphar,Female,Marketing,"$74,600 ",Lagos,Very Good
Osborn Pawle,Male,Training,"$38,030 ",Abuja,Average
Chas Happel,Female,Services,"$30,940 ",Kaduna,Very Poor
Roth Bourget,Male,Services,"$28,870 ",Kaduna,Average
Maisie Shotboulte,Female,Marketing,"$71,210 ",Abuja,Very Good
Felita Whitloe,Male,Training,"$63,450 ",Kaduna,Good
Cindi McDuffy,Female,Services,"$87,930 ",Abuja,Very Poor
Murry Dryburgh,Male,Research and Development,"$69,070 ",Abuja,Average
Dorise Labat,Male,Business Development,"$101,610 ",Kaduna,Average
Hephzibah Summerell,Female,Services,"$28,310 ",Abuja,Average
Alyosha Riquet,Male,Legal,"$89,840 ",Abuja,Very Good
Maximo Ungerecht,Male,Support,"$96,250 ",Lagos,Average
Lezlie Balmann,Male,Product Management,"$112,460 ",Kaduna,Poor
Benny Karolovsky,Undisclosed,Human Resources,"$115,440 ",Abuja,Average
Gretchen Callow,Female,Training,"$33,920 ",Kaduna,Average
Candace Hanlon,Male,Support,"$46,280 ",Lagos,Average
Oby Sorrel,Female,Support,"$58,940 ",Kaduna,Average
Cecilia Marshalleck,Female,Marketing,"$118,980 ",Abuja,Not Rated
Antonetta Coggeshall,Male,Sales,"$96,750 ",Kaduna,Average
Purcell Le Pine,Undisclosed,Legal,"$101,220 ",Kaduna,Good
Archibald Dyzart,Male,Product Management,"$63,020 ",Abuja,Average
Lil Ibberson,Male,Business Development,"$75,920 ",Kaduna,Good
Karita Vasyanin,Male,Legal,"$93,080 ",Lagos,Average
Joaquin McVitty,Male,Sales,"$68,860 ",Lagos,Good
Collen Dunbleton,Male,Engineering,"$118,980 ",Abuja,Poor
Alysa Wankling,Undisclosed,Legal,"$106,460 ",Lagos,Good
Ardella Dyment,Female,Business Development,"$70,650 ",Kaduna,Good
Ryun Fasset,Male,NULL,"$101,120 ",Kaduna,Very Good
Rodina Drinan,Female,Sales,"$77,050 ",Abuja,Good
Louise Lamming,Female,Sales,"$41,930 ",Abuja,Poor
Marga Lorenzo,Female,Legal,"$89,360 ",Abuja,Good
Alvie Keming,Female,Legal,"$37,840 ",Kaduna,Poor
Sheff Gerdts,Male,Business Development,"$89,160 ",Abuja,Average
Josie Barnson,Female,Training,"$74,110 ",Kaduna,Very Good
Petey Probey,Male,Services,"$31,630 ",Kaduna,Poor
Shelbi Aldin,Female,Research and Development,"$40,910 ",Abuja,Poor
Estell Kingsland,Male,Sales,"$32,190 ",Kaduna,Average
Lea Chaplin,Female,Human Resources,"$73,490 ",Kaduna,Poor
Onofredo Hassan,Male,Product Management,"$52,220 ",Kaduna,Average
Hyacinthie Braybrooke,Female,Support,"$68,900 ",Abuja,Average
Agnes Collicott,Female,Sales,"$83,750 ",Abuja,Average
Margarete Blasing,Male,Support,"$110,970 ",Kaduna,Not Rated
Patience Noot,Female,Business Development,"$49,520 ",Abuja,Average
Charmane Heistermann,Female,Business Development,"$86,560 ",Kaduna,Average
Jamal Beagen,Female,Support,"$35,830 ",Kaduna,Average
Brigid Jeffrey,Female,Support,"$53,910 ",Kaduna,Good
Nelli Schoolfield,Female,Engineering,"$109,870 ",Kaduna,Average
Abigael Basire,Male,Engineering,"$61,620 ",Abuja,Average
Anjanette Ferre,Undisclosed,Human Resources,"$67,960 ",Abuja,Average
Mackenzie Hannis,Female,Training,"$57,000 ",Abuja,Very Poor
Ambros Murthwaite,Male,Sales,"$70,610 ",Lagos,Average
Lek Scamaden,Female,Training,"$51,860 ",Abuja,Good
Jehu Rudeforth,Female,Engineering,"$60,130 ",Abuja,Average
Bert Yaakov,Male,Research and Development,"$72,040 ",Kaduna,Poor
Bordy Yatman,Female,Product Management,"$108,450 ",Lagos,Good
Georgie Caress,Male,Marketing,"$58,260 ",Abuja,Average
Mollie Hanway,Male,NULL,"$112,650 ",Lagos,Average
Krysta Elacoate,Male,Human Resources,"$106,930 ",Kaduna,Average
Jolynn Lumbley,Undisclosed,Research and Development,"$70,020 ",Abuja,Average
Gwendolyn Chrippes,Male,Engineering,,Abuja,Good
Blythe Clipston,Female,Human Resources,"$35,670 ",Kaduna,Average
Sisely Hatchman,Female,Sales,,Kaduna,Average
Alicea Pudsall,Male,Accounting,"$67,630 ",Abuja,Average
Karee Ruslinge,Female,Human Resources,"$82,300 ",Kaduna,Not Rated
Wilone O'Kielt,Female,Business Development,"$114,870 ",Lagos,Not Rated
Justino Chapiro,Male,Sales,"$71,030 ",Lagos,Average
Maritsa Marusic,Male,Research and Development,"$52,750 ",Abuja,Average
Sisely Gatsby,Female,Support,"$85,670 ",Kaduna,Average
Shantee D'Antonio,Female,Product Management,,Kaduna,Good
Blaire Ruckman,Male,Business Development,"$61,700 ",Kaduna,Average
William Coveny,Male,Legal,"$66,140 ",Abuja,Good
Packston Joanic,Male,Marketing,"$51,860 ",Kaduna,Good
Joana Bartocci,Male,Human Resources,"$52,670 ",Abuja,Average
Sile Whorton,Female,Legal,"$61,210 ",Kaduna,Not Rated
Billi Fellgate,Female,Business Development,"$68,980 ",Kaduna,Average
Franchot Crocken,Female,Accounting,"$29,610 ",Abuja,Average
Cletus McGarahan,Female,Engineering,"$114,430 ",Lagos,Good
Callie Duckels,Male,Product Management,"$53,760 ",Abuja,Average
Roselle Wandrach,Male,Sales,"$91,310 ",Abuja,Average
Lishe Casemore,Male,Services,"$117,840 ",Kaduna,Average
Garey Bird,Female,Product Management,"$31,830 ",Lagos,Average
Toby Micklewright,Male,Legal,"$32,980 ",Lagos,Not Rated
Dell Molloy,Male,Engineering,"$47,360 ",Abuja,Poor
Fidela Dowey,Female,Engineering,"$86,740 ",Lagos,Very Good
Emmanuel Westrey,Female,Support,"$87,400 ",Kaduna,Average
Abigael Basire,Male,Engineering,"$61,620 ",Lagos,Poor
Melodie Torresi,Female,Business Development,"$75,090 ",Lagos,Average
Dewie Stodart,Male,Accounting,"$78,020 ",Kaduna,Average
Fred Dudeney,Male,Services,"$88,690 ",Abuja,Very Good
Giffer Berlin,Female,Research and Development,"$92,340 ",Kaduna,Good
Bealle Glentworth,Male,NULL,"$99,480 ",Abuja,Poor
Van Tuxwell,Female,Business Development,"$80,700 ",Abuja,Poor
Sarajane Scourge,Female,Business Development,"$58,830 ",Abuja,Poor
Rose Shurrocks,Female,Research and Development,"$32,140 ",Kaduna,Good
Mata Fishley,Male,Accounting,"$102,520 ",Abuja,Poor
Irvine Blenkin,Male,Human Resources,"$79,590 ",Abuja,Very Poor
Wald Bountiff,Female,Support,"$28,970 ",Lagos,Very Good
Leonerd Jiru,Female,Marketing,,Lagos,Not Rated
Hinda Label,Female,Human Resources,"$92,700 ",Kaduna,Average
Irwin Kirsche,Female,Accounting,"$36,150 ",Kaduna,Poor
Sile Whorton,Female,Legal,"$61,210 ",Abuja,Average
Jill Shipsey,Male,Accounting,"$52,960 ",Lagos,Average
Nerissa Kavanagh,Male,Training,"$84,170 ",Lagos,Not Rated
Anabal Cooke,Female,Product Management,"$31,920 ",Kaduna,Average
Ava Whordley,Female,Product Management,"$104,210 ",Abuja,Very Good
Laney Thowless,Male,Product Management,,Kaduna,Good
Ansley Gounel,Female,Product Management,"$38,440 ",Abuja,Poor
Cletus McGarahan,Female,Engineering,"$114,430 ",Kaduna,Very Good
Althea Bronger,Male,Product Management,"$104,340 ",Kaduna,Poor
Orlando Gorstidge,Male,Marketing,"$40,750 ",Lagos,Very Poor
Robbert Mandrier,Female,Training,"$98,020 ",Abuja,Very Good
Twila Roantree,Female,Sales,"$96,620 ",Lagos,Poor
Archibald Filliskirk,Male,Research and Development,"$40,400 ",Abuja,Very Good
Denni Wiggans,Male,Product Management,"$81,220 ",Lagos,Poor
Pyotr Lightewood,Male,Training,"$33,840 ",Lagos,Not Rated
Shari McNee,Male,Research and Development,"$75,880 ",Lagos,Average
Issiah Cradick,Male,Engineering,"$81,380 ",Lagos,Not Rated
Nollie Courteney,Male,Research and Development,"$71,490 ",Abuja,Not Rated
Tadio Dowdle,Female,Product Management,"$91,930 ",Kaduna,Average
